,day,date,phase,tests.performed.todate,tests.performed,tests.positive.todate,tests.positive,tests.regular.performed.todate,tests.regular.performed,tests.regular.positive.todate,tests.regular.positive,tests.hagt.performed,tests.hagt.performed.todate,tests.hagt.positive,tests.hagt.positive.todate,tests.ns-apr20.performed.todate,tests.ns-apr20.performed,tests.ns-apr20.positive.todate,tests.ns-apr20.positive,cases.confirmed.todate,cases.confirmed,cases.active,cases.recovered.todate,cases.closed.todate,cases.hs.employee.confirmed.todate,cases.rh.employee.confirmed.todate,cases.rh.occupant.confirmed.todate,cases.unclassified.confirmed.todate,state.in_hospital,state.icu,state.critical,state.in_hospital.todate,state.out_of_hospital.todate,state.deceased.todate,region.lj.todate,region.ce.todate,region.mb.todate,region.ms.todate,region.kr.todate,region.nm.todate,region.za.todate,region.sg.todate,region.po.todate,region.ng.todate,region.kp.todate,region.kk.todate,region.foreign.todate,region.unknown.todate,region.todate,age.0-4.todate,age.5-14.todate,age.15-24.todate,age.25-34.todate,age.35-44.todate,age.45-54.todate,age.55-64.todate,age.65-74.todate,age.75-84.todate,age.85+.todate,age.todate,age.female.0-4.todate,age.female.5-14.todate,age.female.15-24.todate,age.female.25-34.todate,age.female.35-44.todate,age.female.45-54.todate,age.female.55-64.todate,age.female.65-74.todate,age.female.75-84.todate,age.female.85+.todate,age.female.todate,age.male.0-4.todate,age.male.5-14.todate,age.male.15-24.todate,age.male.25-34.todate,age.male.35-44.todate,age.male.45-54.todate,age.male.55-64.todate,age.male.65-74.todate,age.male.75-84.todate,age.male.85+.todate,age.male.todate,age.unknown.0-4.todate,age.unknown.5-14.todate,age.unknown.15-24.todate,age.unknown.25-34.todate,age.unknown.35-44.todate,age.unknown.45-54.todate,age.unknown.55-64.todate,age.unknown.65-74.todate,age.unknown.75-84.todate,age.unknown.85+.todate,age.unknown.todate,deceased.0-4.todate,deceased.5-14.todate,deceased.15-24.todate,deceased.25-34.todate,deceased.35-44.todate,deceased.45-54.todate,deceased.55-64.todate,deceased.65-74.todate,deceased.75-84.todate,deceased.85+.todate,deceased.todate,deceased.female.0-4.todate,deceased.female.5-14.todate,deceased.female.15-24.todate,deceased.female.25-34.todate,deceased.female.35-44.todate,deceased.female.45-54.todate,deceased.female.55-64.todate,deceased.female.65-74.todate,deceased.female.75-84.todate,deceased.female.85+.todate,deceased.female.todate,deceased.male.0-4.todate,deceased.male.5-14.todate,deceased.male.15-24.todate,deceased.male.25-34.todate,deceased.male.35-44.todate,deceased.male.45-54.todate,deceased.male.55-64.todate,deceased.male.65-74.todate,deceased.male.75-84.todate,deceased.male.85+.todate,deceased.male.todate,deceased.rhoccupant.todate,deceased.other.todate,vaccination.administered,vaccination.administered.todate,vaccination.administered2nd,vaccination.administered2nd.todate,vaccination.used.todate,vaccination.delivered.todate,day_name
353,3,2021-02-11,F15,851403.0,5151.0,161754.0,850.0,850035.0,5151.0,161753.0,850.0,19849.0,494637.0,210.0,16133.0,,,,,178084.0,1046.0,13423.0,160969.0,164661.0,,,12006.0,166078.0,828.0,159.0,107.0,12999.0,9451.0,3677.0,41927.0,23785.0,26939.0,12400.0,18799.0,14497.0,4731.0,7067.0,3876.0,8106.0,6914.0,7919.0,622.0,502.0,178084.0,1145.0,3410.0,15235.0,29083.0,34963.0,35166.0,25449.0,13968.0,11086.0,8578.0,178083.0,525.0,1662.0,7710.0,14868.0,18538.0,18954.0,12892.0,6614.0,6425.0,6529.0,94717.0,620.0,1748.0,7525.0,14215.0,16425.0,16212.0,12557.0,7354.0,4661.0,2049.0,83366.0,,,,,,,,,,,,,,,2.0,18.0,41.0,154.0,557.0,1317.0,1935.0,4024.0,,,,1.0,9.0,15.0,37.0,189.0,623.0,1251.0,2125.0,,,,1.0,9.0,26.0,117.0,368.0,694.0,684.0,1899.0,2035.0,1989.0,6822.0,65845.0,1764.0,47370.0,113215.0,151620.0,Thursday
354,4,2021-02-12,F15,855861.0,4458.0,162496.0,742.0,854493.0,4458.0,162495.0,742.0,20003.0,514640.0,263.0,16396.0,,,,,179073.0,989.0,13110.0,162258.0,165963.0,,,12009.0,167064.0,789.0,156.0,97.0,13048.0,9524.0,3692.0,42174.0,23887.0,27095.0,12426.0,18894.0,14561.0,4754.0,7094.0,3914.0,8167.0,7024.0,7957.0,623.0,503.0,179073.0,1160.0,3477.0,15324.0,29233.0,35167.0,35361.0,25606.0,14036.0,11119.0,8589.0,179072.0,532.0,1696.0,7764.0,14952.0,18645.0,19058.0,12973.0,6649.0,6442.0,6531.0,95242.0,628.0,1781.0,7560.0,14281.0,16522.0,16303.0,12633.0,7387.0,4677.0,2058.0,83830.0,,,,,,,,,,,,,,,2.0,18.0,41.0,157.0,558.0,1322.0,1941.0,4039.0,,,,1.0,9.0,15.0,39.0,189.0,626.0,1255.0,2134.0,,,,1.0,9.0,26.0,118.0,369.0,696.0,686.0,1905.0,2035.0,2004.0,6872.0,72717.0,1738.0,49108.0,121825.0,151620.0,Friday
355,5,2021-02-13,F16,858085.0,2224.0,162881.0,385.0,856717.0,2224.0,162880.0,385.0,5676.0,520316.0,,,,,,,179458.0,385.0,12907.0,162834.0,166551.0,,,12011.0,167447.0,738.0,149.0,93.0,13107.0,9621.0,3705.0,42300.0,23911.0,27161.0,12468.0,18958.0,14590.0,4757.0,7102.0,3916.0,8183.0,7025.0,7959.0,623.0,505.0,179458.0,1170.0,3494.0,15352.0,29293.0,35252.0,35430.0,25655.0,14071.0,11140.0,8600.0,179457.0,535.0,1704.0,7778.0,14985.0,18692.0,19097.0,12999.0,6666.0,6451.0,6539.0,95446.0,635.0,1790.0,7574.0,14308.0,16560.0,16333.0,12656.0,7405.0,4689.0,2061.0,84011.0,,,,,,,,,,,,,,,2.0,18.0,41.0,157.0,559.0,1326.0,1944.0,4047.0,,,,1.0,9.0,15.0,39.0,189.0,628.0,1257.0,2138.0,,,,1.0,9.0,26.0,118.0,370.0,698.0,687.0,1909.0,2036.0,2011.0,710.0,73427.0,189.0,49297.0,122724.0,151620.0,Saturday
356,6,2021-02-14,F16,859718.0,1633.0,163125.0,244.0,858350.0,1633.0,163124.0,244.0,9748.0,530064.0,,,,,,,179702.0,244.0,12803.0,163171.0,166899.0,,,12013.0,167689.0,740.0,139.0,92.0,13153.0,9653.0,3717.0,42395.0,23916.0,27223.0,12480.0,18978.0,14598.0,4769.0,7120.0,3917.0,8188.0,7027.0,7961.0,623.0,507.0,179702.0,1173.0,3510.0,15368.0,29341.0,35298.0,35480.0,25686.0,14089.0,11153.0,8603.0,179701.0,537.0,1710.0,7787.0,15009.0,18712.0,19121.0,13016.0,6672.0,6458.0,6542.0,95564.0,636.0,1800.0,7581.0,14332.0,16586.0,16359.0,12670.0,7417.0,4695.0,2061.0,84137.0,,,,,,,,,,,,,,,2.0,18.0,42.0,159.0,560.0,1330.0,1946.0,4057.0,,,,1.0,9.0,15.0,40.0,189.0,629.0,1257.0,2140.0,,,,1.0,9.0,27.0,119.0,371.0,701.0,689.0,1917.0,2038.0,2019.0,16.0,73443.0,16.0,49313.0,122756.0,151620.0,Sunday
357,0,2021-02-15,F16,864132.0,4414.0,163868.0,743.0,862764.0,4414.0,163867.0,743.0,40689.0,570753.0,,,,,,,180445.0,743.0,12030.0,164682.0,168415.0,,,12018.0,168427.0,738.0,135.0,87.0,13195.0,9687.0,3728.0,42578.0,24000.0,27296.0,12537.0,19070.0,14654.0,4776.0,7144.0,3952.0,8229.0,7096.0,7979.0,624.0,510.0,180445.0,1183.0,3566.0,15433.0,29469.0,35450.0,35620.0,25798.0,14134.0,11175.0,8616.0,180444.0,545.0,1729.0,7823.0,15068.0,18809.0,19194.0,13076.0,6692.0,6468.0,6552.0,95956.0,638.0,1837.0,7610.0,14401.0,16641.0,16426.0,12722.0,7442.0,4707.0,2064.0,84488.0,,,,,,,,,,,,,,,2.0,18.0,42.0,159.0,562.0,1330.0,1950.0,4063.0,,,,1.0,9.0,15.0,40.0,189.0,629.0,1259.0,2142.0,,,,1.0,9.0,27.0,119.0,373.0,701.0,691.0,1921.0,2040.0,2023.0,79.0,73522.0,8.0,49321.0,122843.0,172680.0,Monday
358,1,2021-02-16,F16,869272.0,5140.0,164968.0,1100.0,867904.0,5140.0,164967.0,1100.0,21288.0,592041.0,,,,,,,181545.0,1100.0,11566.0,166234.0,169979.0,,,12020.0,169525.0,691.0,127.0,88.0,13231.0,9765.0,3733.0,42884.0,24132.0,27412.0,12591.0,19199.0,14743.0,4795.0,7170.0,3996.0,8272.0,7212.0,8000.0,625.0,514.0,181545.0,1207.0,3638.0,15550.0,29626.0,35643.0,35832.0,25982.0,14216.0,11220.0,8630.0,181544.0,558.0,1763.0,7887.0,15142.0,18904.0,19308.0,13173.0,6732.0,6493.0,6557.0,96517.0,649.0,1875.0,7663.0,14484.0,16739.0,16524.0,12809.0,7484.0,4727.0,2073.0,85027.0,,,,,,,,,,,,,,,2.0,19.0,43.0,159.0,562.0,1333.0,1951.0,4069.0,,,,1.0,10.0,16.0,40.0,189.0,629.0,1259.0,2144.0,,,,1.0,9.0,27.0,119.0,373.0,704.0,692.0,1925.0,2040.0,2029.0,1044.0,74566.0,71.0,49392.0,123958.0,172680.0,Tuesday
359,2,2021-02-17,F16,873543.0,4271.0,165842.0,874.0,872175.0,4271.0,165841.0,874.0,25034.0,617075.0,,,,,,,182419.0,874.0,11173.0,167491.0,171246.0,,,12025.0,170394.0,648.0,129.0,80.0,13273.0,9840.0,3745.0,43122.0,24207.0,27549.0,12630.0,19318.0,14799.0,4806.0,7198.0,4025.0,8307.0,7297.0,8016.0,627.0,518.0,182419.0,1222.0,3689.0,15644.0,29757.0,35844.0,35992.0,26082.0,14285.0,11262.0,8641.0,182418.0,565.0,1791.0,7926.0,15208.0,19008.0,19398.0,13225.0,6774.0,6519.0,6562.0,96976.0,657.0,1898.0,7718.0,14549.0,16836.0,16594.0,12857.0,7511.0,4743.0,2079.0,85442.0,,,,,,,,,,,,,,,2.0,20.0,43.0,160.0,564.0,1335.0,1953.0,4077.0,,,,1.0,10.0,16.0,40.0,189.0,629.0,1261.0,2146.0,,,,1.0,10.0,27.0,120.0,375.0,706.0,692.0,1931.0,2041.0,2036.0,4908.0,79474.0,623.0,50015.0,129489.0,172680.0,Wednesday
360,3,2021-02-18,F16,878099.0,4556.0,166751.0,909.0,876731.0,4556.0,166750.0,909.0,20954.0,638029.0,,,,,,,183328.0,909.0,11122.0,168444.0,172206.0,,,12035.0,171293.0,619.0,117.0,75.0,13316.0,9902.0,3755.0,43346.0,24292.0,27662.0,12699.0,19434.0,14859.0,4819.0,7218.0,4057.0,8351.0,7407.0,8035.0,627.0,522.0,183328.0,1231.0,3740.0,15757.0,29873.0,36026.0,36165.0,26189.0,14369.0,11319.0,8658.0,183327.0,566.0,1815.0,7992.0,15264.0,19099.0,19487.0,13277.0,6816.0,6550.0,6573.0,97439.0,665.0,1925.0,7765.0,14609.0,16927.0,16678.0,12912.0,7553.0,4769.0,2085.0,85888.0,,,,,,,,,,,,,,,2.0,20.0,43.0,161.0,565.0,1337.0,1954.0,4082.0,,,,1.0,10.0,16.0,41.0,189.0,629.0,1262.0,2148.0,,,,1.0,10.0,27.0,120.0,376.0,708.0,692.0,1934.0,2041.0,2041.0,8300.0,87774.0,726.0,50741.0,138515.0,189480.0,Thursday
361,4,2021-02-19,F16,882496.0,4397.0,167710.0,959.0,881128.0,4397.0,167709.0,959.0,26392.0,664421.0,,,,,,,184287.0,959.0,11097.0,169421.0,173190.0,,,12035.0,172252.0,623.0,115.0,70.0,13367.0,9942.0,3762.0,43629.0,24415.0,27767.0,12760.0,19540.0,14917.0,4840.0,7251.0,4079.0,8380.0,7492.0,8060.0,631.0,526.0,184287.0,1249.0,3827.0,15848.0,30016.0,36216.0,36353.0,26312.0,14449.0,11348.0,8668.0,184286.0,576.0,1857.0,8035.0,15341.0,19205.0,19575.0,13346.0,6850.0,6566.0,6577.0,97928.0,673.0,1970.0,7813.0,14675.0,17011.0,16778.0,12966.0,7599.0,4782.0,2091.0,86358.0,,,,,,,,,,,,,,,2.0,20.0,43.0,161.0,567.0,1338.0,1958.0,4089.0,,,,1.0,10.0,16.0,41.0,189.0,629.0,1265.0,2151.0,,,,1.0,10.0,27.0,120.0,378.0,709.0,693.0,1938.0,2042.0,2047.0,6145.0,93919.0,599.0,51340.0,145259.0,189480.0,Friday
362,5,2021-02-20,F16,884563.0,2067.0,168128.0,418.0,883195.0,2067.0,168127.0,418.0,9054.0,673475.0,,,,,,,184705.0,418.0,11019.0,169910.0,173686.0,,,12035.0,172670.0,579.0,109.0,67.0,13407.0,10020.0,3769.0,43792.0,24458.0,27838.0,12767.0,19588.0,14941.0,4841.0,7266.0,4080.0,8413.0,7495.0,8063.0,631.0,532.0,184705.0,1257.0,3869.0,15894.0,30091.0,36282.0,36416.0,26368.0,14490.0,11363.0,8674.0,184704.0,580.0,1877.0,8062.0,15387.0,19237.0,19606.0,13377.0,6871.0,6575.0,6581.0,98153.0,677.0,1992.0,7832.0,14704.0,17045.0,16810.0,12991.0,7619.0,4788.0,2093.0,86551.0,,,,,,,,,,,,,,,2.0,20.0,43.0,161.0,567.0,1339.0,1961.0,4093.0,,,,1.0,10.0,16.0,41.0,189.0,630.0,1266.0,2153.0,,,,1.0,10.0,27.0,120.0,378.0,709.0,695.0,1940.0,2042.0,2051.0,2519.0,96438.0,19.0,51359.0,147797.0,189480.0,Saturday
