,day,date,phase,tests.performed.todate,tests.performed,tests.positive.todate,tests.positive,tests.regular.performed.todate,tests.regular.performed,tests.regular.positive.todate,tests.regular.positive,tests.hagt.performed,tests.hagt.performed.todate,tests.hagt.positive,tests.hagt.positive.todate,tests.ns-apr20.performed.todate,tests.ns-apr20.performed,tests.ns-apr20.positive.todate,tests.ns-apr20.positive,cases.confirmed.todate,cases.confirmed,cases.active,cases.recovered.todate,cases.closed.todate,cases.hs.employee.confirmed.todate,cases.rh.employee.confirmed.todate,cases.rh.occupant.confirmed.todate,cases.unclassified.confirmed.todate,state.in_hospital,state.icu,state.critical,state.in_hospital.todate,state.out_of_hospital.todate,state.deceased.todate,region.lj.todate,region.ce.todate,region.mb.todate,region.ms.todate,region.kr.todate,region.nm.todate,region.za.todate,region.sg.todate,region.po.todate,region.ng.todate,region.kp.todate,region.kk.todate,region.foreign.todate,region.unknown.todate,region.todate,age.0-4.todate,age.5-14.todate,age.15-24.todate,age.25-34.todate,age.35-44.todate,age.45-54.todate,age.55-64.todate,age.65-74.todate,age.75-84.todate,age.85+.todate,age.todate,age.female.0-4.todate,age.female.5-14.todate,age.female.15-24.todate,age.female.25-34.todate,age.female.35-44.todate,age.female.45-54.todate,age.female.55-64.todate,age.female.65-74.todate,age.female.75-84.todate,age.female.85+.todate,age.female.todate,age.male.0-4.todate,age.male.5-14.todate,age.male.15-24.todate,age.male.25-34.todate,age.male.35-44.todate,age.male.45-54.todate,age.male.55-64.todate,age.male.65-74.todate,age.male.75-84.todate,age.male.85+.todate,age.male.todate,age.unknown.0-4.todate,age.unknown.5-14.todate,age.unknown.15-24.todate,age.unknown.25-34.todate,age.unknown.35-44.todate,age.unknown.45-54.todate,age.unknown.55-64.todate,age.unknown.65-74.todate,age.unknown.75-84.todate,age.unknown.85+.todate,age.unknown.todate,deceased.0-4.todate,deceased.5-14.todate,deceased.15-24.todate,deceased.25-34.todate,deceased.35-44.todate,deceased.45-54.todate,deceased.55-64.todate,deceased.65-74.todate,deceased.75-84.todate,deceased.85+.todate,deceased.todate,deceased.female.0-4.todate,deceased.female.5-14.todate,deceased.female.15-24.todate,deceased.female.25-34.todate,deceased.female.35-44.todate,deceased.female.45-54.todate,deceased.female.55-64.todate,deceased.female.65-74.todate,deceased.female.75-84.todate,deceased.female.85+.todate,deceased.female.todate,deceased.male.0-4.todate,deceased.male.5-14.todate,deceased.male.15-24.todate,deceased.male.25-34.todate,deceased.male.35-44.todate,deceased.male.45-54.todate,deceased.male.55-64.todate,deceased.male.65-74.todate,deceased.male.75-84.todate,deceased.male.85+.todate,deceased.male.todate,deceased.rhoccupant.todate,deceased.other.todate,vaccination.administered,vaccination.administered.todate,vaccination.administered2nd,vaccination.administered2nd.todate,vaccination.used.todate,vaccination.delivered.todate,day_name
239,1,2020-10-20,F11,301028.0,5891.0,15974.0,1503.0,299660.0,5891.0,15973.0,1503.0,,,,,1368.0,,1.0,,15993.0,1505.0,8870.0,6921.0,7123.0,,,876.0,15117.0,313.0,55.0,41.0,1202.0,767.0,192.0,4975.0,2061.0,1784.0,806.0,2206.0,1120.0,491.0,753.0,338.0,465.0,305.0,496.0,161.0,32.0,15993.0,112.0,739.0,2142.0,2638.0,3116.0,3062.0,1936.0,928.0,715.0,605.0,15993.0,58.0,360.0,1035.0,1323.0,1699.0,1674.0,995.0,437.0,404.0,456.0,8441.0,54.0,379.0,1107.0,1315.0,1417.0,1388.0,941.0,491.0,311.0,149.0,7552.0,,,,,,,,,,,,,,,,,4.0,8.0,30.0,68.0,119.0,229.0,,,,,,1.0,1.0,11.0,27.0,82.0,122.0,,,,,,3.0,7.0,19.0,41.0,37.0,107.0,135.0,94.0,,,,,,,Tuesday
240,2,2020-10-21,F11,307243.0,6215.0,17635.0,1661.0,305875.0,6215.0,17634.0,1661.0,,,,,1368.0,,1.0,,17663.0,1670.0,10152.0,7300.0,7511.0,,,960.0,16703.0,333.0,55.0,41.0,1262.0,799.0,202.0,5506.0,2263.0,1956.0,923.0,2477.0,1211.0,517.0,821.0,378.0,517.0,359.0,537.0,166.0,32.0,17663.0,118.0,808.0,2350.0,2913.0,3466.0,3393.0,2152.0,1014.0,795.0,654.0,17663.0,62.0,393.0,1137.0,1454.0,1885.0,1861.0,1109.0,473.0,453.0,496.0,9323.0,56.0,415.0,1213.0,1459.0,1581.0,1532.0,1043.0,541.0,342.0,158.0,8340.0,,,,,,,,,,,,,,,,,4.0,9.0,31.0,69.0,124.0,237.0,,,,,,1.0,1.0,12.0,28.0,84.0,126.0,,,,,,3.0,8.0,19.0,41.0,40.0,111.0,139.0,98.0,,,,,,,Wednesday
241,3,2020-10-22,F11,313988.0,6745.0,19290.0,1655.0,312620.0,6745.0,19289.0,1655.0,,,,,1368.0,,1.0,,19324.0,1661.0,11450.0,7658.0,7874.0,,,1015.0,18309.0,356.0,62.0,46.0,1322.0,831.0,211.0,5959.0,2548.0,2141.0,1007.0,2762.0,1299.0,551.0,886.0,390.0,575.0,419.0,584.0,171.0,32.0,19324.0,126.0,863.0,2555.0,3198.0,3815.0,3761.0,2347.0,1090.0,870.0,699.0,19324.0,67.0,423.0,1230.0,1608.0,2081.0,2073.0,1199.0,510.0,498.0,533.0,10222.0,59.0,440.0,1325.0,1590.0,1734.0,1688.0,1148.0,580.0,372.0,166.0,9102.0,,,,,,,,,,,,,,,,,5.0,9.0,33.0,71.0,128.0,246.0,,,,,,1.0,1.0,12.0,29.0,87.0,130.0,,,,,,4.0,8.0,21.0,42.0,41.0,116.0,144.0,102.0,,,,,,,Thursday
242,4,2020-10-23,F11,321013.0,7025.0,21251.0,1961.0,319645.0,7025.0,21250.0,1961.0,,,,,1368.0,,1.0,,21293.0,1969.0,13039.0,8019.0,8254.0,,,1120.0,20173.0,394.0,65.0,47.0,1391.0,859.0,216.0,6549.0,2840.0,2379.0,1091.0,3165.0,1403.0,595.0,944.0,421.0,626.0,435.0,637.0,176.0,32.0,21293.0,133.0,935.0,2793.0,3511.0,4218.0,4197.0,2583.0,1199.0,952.0,772.0,21293.0,69.0,455.0,1342.0,1771.0,2294.0,2312.0,1319.0,560.0,549.0,586.0,11257.0,64.0,480.0,1451.0,1740.0,1924.0,1885.0,1264.0,639.0,403.0,186.0,10036.0,,,,,,,,,,,,,,,,,5.0,10.0,36.0,78.0,137.0,266.0,,,,,,1.0,2.0,13.0,33.0,94.0,143.0,,,,,,4.0,8.0,23.0,45.0,43.0,123.0,150.0,116.0,,,,,,,Friday
243,5,2020-10-24,F11,326789.0,5776.0,22926.0,1675.0,325421.0,5776.0,22925.0,1675.0,,,,,1368.0,,1.0,,22995.0,1702.0,14330.0,8424.0,8665.0,,,1160.0,21835.0,449.0,66.0,50.0,1494.0,890.0,235.0,6999.0,3047.0,2567.0,1199.0,3502.0,1493.0,651.0,998.0,463.0,681.0,501.0,678.0,184.0,32.0,22995.0,140.0,981.0,2983.0,3801.0,4593.0,4567.0,2798.0,1310.0,1014.0,808.0,22995.0,71.0,481.0,1444.0,1915.0,2496.0,2522.0,1427.0,618.0,583.0,612.0,12169.0,69.0,500.0,1539.0,1886.0,2097.0,2045.0,1371.0,692.0,431.0,196.0,10826.0,,,,,,,,,,,,,,,,,5.0,10.0,36.0,80.0,140.0,271.0,,,,,,1.0,2.0,13.0,34.0,95.0,145.0,,,,,,4.0,8.0,23.0,46.0,45.0,126.0,153.0,118.0,,,,,,,Saturday
244,6,2020-10-25,F11,330471.0,3682.0,24041.0,1115.0,329103.0,3682.0,24040.0,1115.0,,,,,1368.0,,1.0,,24113.0,1118.0,15279.0,8583.0,8834.0,,,1208.0,22905.0,508.0,73.0,55.0,1583.0,915.0,241.0,7362.0,3132.0,2709.0,1271.0,3786.0,1535.0,669.0,1034.0,465.0,723.0,506.0,702.0,187.0,32.0,24113.0,145.0,1009.0,3093.0,3983.0,4867.0,4795.0,2934.0,1377.0,1069.0,841.0,24113.0,75.0,489.0,1498.0,2001.0,2636.0,2641.0,1501.0,649.0,618.0,639.0,12747.0,70.0,520.0,1595.0,1982.0,2231.0,2154.0,1433.0,728.0,451.0,202.0,11366.0,,,,,,,,,,,,,,,,1.0,6.0,10.0,38.0,83.0,150.0,288.0,,,,,,2.0,2.0,14.0,34.0,101.0,153.0,,,,,1.0,4.0,8.0,24.0,49.0,49.0,135.0,159.0,129.0,,,,,,,Sunday
245,0,2020-10-26,F12,336227.0,5756.0,25540.0,1499.0,334859.0,5756.0,25539.0,1499.0,,,,,1368.0,,1.0,,25615.0,1502.0,16382.0,8969.0,9233.0,,,1290.0,24325.0,523.0,82.0,57.0,1634.0,944.0,251.0,7790.0,3307.0,2901.0,1362.0,4031.0,1638.0,714.0,1107.0,481.0,764.0,556.0,739.0,193.0,32.0,25615.0,153.0,1044.0,3238.0,4202.0,5215.0,5114.0,3131.0,1460.0,1136.0,922.0,25615.0,79.0,512.0,1571.0,2121.0,2842.0,2814.0,1602.0,692.0,652.0,700.0,13585.0,74.0,532.0,1667.0,2081.0,2373.0,2300.0,1529.0,768.0,484.0,222.0,12030.0,,,,,,,,,,,,,,,,1.0,6.0,10.0,38.0,87.0,161.0,303.0,,,,,,2.0,2.0,14.0,37.0,109.0,164.0,,,,,1.0,4.0,8.0,24.0,50.0,52.0,139.0,170.0,133.0,,,,,,,Monday
246,1,2020-10-27,F12,343698.0,7471.0,28145.0,2605.0,342330.0,7471.0,28144.0,2605.0,,,,,1368.0,,1.0,,28226.0,2611.0,18286.0,9662.0,9940.0,,,1384.0,26842.0,560.0,88.0,57.0,1719.0,987.0,264.0,8531.0,3699.0,3118.0,1546.0,4467.0,1859.0,762.0,1190.0,522.0,840.0,656.0,806.0,198.0,32.0,28226.0,172.0,1109.0,3480.0,4653.0,5775.0,5717.0,3469.0,1620.0,1242.0,989.0,28226.0,89.0,539.0,1691.0,2360.0,3142.0,3136.0,1778.0,751.0,707.0,740.0,14933.0,83.0,570.0,1789.0,2293.0,2633.0,2581.0,1691.0,869.0,535.0,249.0,13293.0,,,,,,,,,,,,,,,,1.0,6.0,11.0,42.0,91.0,168.0,319.0,,,,,,2.0,3.0,14.0,38.0,112.0,169.0,,,,,1.0,4.0,8.0,28.0,53.0,56.0,150.0,179.0,140.0,,,,,,,Tuesday
247,2,2020-10-28,F12,350900.0,7202.0,30633.0,2488.0,349532.0,7202.0,30632.0,2488.0,,,,,1368.0,,1.0,,30718.0,2492.0,20030.0,10396.0,10688.0,,,1439.0,29279.0,612.0,102.0,66.0,1829.0,1038.0,278.0,9333.0,4017.0,3370.0,1681.0,4963.0,1984.0,805.0,1279.0,557.0,915.0,734.0,842.0,206.0,32.0,30718.0,180.0,1156.0,3694.0,5092.0,6359.0,6291.0,3805.0,1748.0,1351.0,1042.0,30718.0,92.0,559.0,1793.0,2588.0,3470.0,3447.0,1947.0,814.0,755.0,781.0,16246.0,88.0,597.0,1901.0,2504.0,2889.0,2844.0,1858.0,934.0,596.0,261.0,14472.0,,,,,,,,,,,,,,,,1.0,6.0,13.0,44.0,98.0,177.0,339.0,,,,,,2.0,3.0,14.0,41.0,116.0,176.0,,,,,1.0,4.0,10.0,30.0,57.0,61.0,163.0,187.0,152.0,,,,,,,Wednesday
248,3,2020-10-29,F12,357268.0,6368.0,32431.0,1798.0,355900.0,6368.0,32430.0,1798.0,,,,,1368.0,,1.0,,32518.0,1800.0,20994.0,11209.0,11524.0,,,1541.0,30977.0,660.0,119.0,72.0,1932.0,1086.0,292.0,9933.0,4303.0,3553.0,1764.0,5278.0,2085.0,842.0,1344.0,581.0,949.0,755.0,881.0,218.0,32.0,32518.0,184.0,1186.0,3826.0,5381.0,6780.0,6701.0,4029.0,1865.0,1452.0,1114.0,32518.0,95.0,573.0,1861.0,2743.0,3709.0,3679.0,2055.0,871.0,820.0,836.0,17242.0,89.0,613.0,1965.0,2638.0,3071.0,3022.0,1974.0,994.0,632.0,278.0,15276.0,,,,,,,,,,,,,,,,1.0,6.0,13.0,50.0,104.0,190.0,364.0,,,,,,2.0,3.0,16.0,43.0,121.0,185.0,,,,,1.0,4.0,10.0,34.0,61.0,69.0,179.0,198.0,166.0,,,,,,,Thursday
